[Gateway#2446; x=24, y=46]
[Gateway#3414; x=34, y=14]
[Gateway#238; x=23, y=8]
[Gateway#87; x=8, y=7]
[Gateway#4810; x=48, y=10]
[Gateway#4521; x=45, y=21]
[Gateway#1426; x=14, y=26]
[Gateway#2728; x=27, y=28]
[Gateway#4029; x=40, y=29]
[Gateway#404; x=40, y=4]
[Gateway#3630; x=36, y=30]
[Gateway#932; x=9, y=32]
[Gateway#5035; x=50, y=35]
[Gateway#2336; x=23, y=36]
[Gateway#1611; x=16, y=11]
[Gateway#039; x=0, y=39]
[Gateway#3239; x=32, y=39]
[Gateway#4139; x=41, y=39]
[Gateway#4312; x=43, y=12]
[Gateway#744; x=7, y=44]
[Gateway#1644; x=16, y=44]
[Gateway#4144; x=41, y=44]
