Parameters	Latitude	Longitude	Elevation
t12-1	41°47'30.7"	27°16'37.9"	233
m1	41°05'24.5"	27°28'08.6"	118
m18	41°02'25.5"	26°21'21.4"	12
cc11	41°09'49.2"	27°29'35.7"	87
ec8	41°11'42.6"	27°28'36.8"	67
t1-2	41°15'42.9"	27°32'53.2"	83
t2-4	41°17'38.9"	27°28'03.2"	57
t3-1	41°20'34.1"	27°27'24.8"	57
t4	41°21'27.1"	27°23'14.7"	41
t5-2	41°21'06.2"	27°19'11.5"	44
t6	41°20'25.1"	27°16'03.5"	44
t7-2	41°22'11.6"	27°10'33.6"	42
t8-2	41°21'08.7"	27°09'37.1"	22
t9	41°22'03.9"	27°08'24.4"	42
t10	41°21'01.7"	27°06'33.4"	41
t11-5	41°20'27.4"	27°04'56.3"	39
t12-2	41°04'41.3"	27°04'35.5"	31
t12-5	41°21'52.9"	27°03'42.5"	38
t13-2	41°24'23.4"	26°55'44.2"	37
t13-3	41°22'56.9"	26°54'42.7"	34
t13-4	41°20'54.9"	26°53'11.1"	22
t14-2	41°18'30.9"	26°47'23.2"	18
t15	41°16'30.7"	26°40'54.6"	12
t16	41°15'02.3"	26°38'41.8"	12
t17	41°12'23.9"	26°36'28.6"	11
t18	41°05'09.1"	26°32'50.2"	21
m2	41°11'42.7"	27°27'56.7"	70
m3	41°12'11.3"	27°28'37.1"	68
m4	41°15'16.0"	27°27'11.1"	56
m5	41°18'18.7"	27°26'41.2"	64
m6	41°20'55.1"	27°23'35.5"	49
m8	41°21'48.4"	27°19'36.4"	43
m9	41°20'52.5"	27°17'16.3"	45
m10	41°21'40.7"	27°13'29.1"	33
m11	41°21'12.6"	27°04'48.4"	46
m12	41°20'32.5"	27°02'20.0"	32
m13	41°20'09.9"	26°55'20.9"	28
m14	41°19'27.6"	26°49'45.2"	18
m15	41°17'05.4"	26°41'55.6"	24
m16	41°14'48.6"	26°37'06.6"	18
t13-1	41°47'09.3"	27°07'45.4"	244
cc10	41°08'32.9"	27°35'56.9"	89
ec1	41°20'47.9"	27°49'53.5"	111
t8-1	41°03'36.5"	27°20'19.6"	111
t14-1	41°16'36.0"	27°01'09.6"	100
m7	41°21'07.2"	27°21'05.9"	48
t12-3	41°40'59.4"	27°11'53.1"	166
cc8	41°10'17.0"	27°47'41.6"	120
cc7	41°10'53.3"	27°48'47.9"	136
cc6	41°12'26.8"	27°51'50.8"	150
cc2	41°17'36.3"	27°56'39.2"	154
cc3	41°14'18.9"	27°52'11.0"	130
cc4	41°12'09.1"	27°49'16.5"	119
ec5	41°13'46.5"	27°38'35.7"	83
ec6	41°15'51.1"	27°38'20.6"	107
ec7	41°13'00.3"	27°31'34.8"	76
t1-1	41°16'37.6"	27°34'57.2"	101
t2-2	41°17'33.5"	27°30'12.4"	55
t5-1	41°25'43.3"	27°22'02.3"	62
t11-4	41°15'21.3"	27°07'02.5"	44
t11-2	40°55'17.1"	26°55'33.4"	129
cc9	41°10'34.9"	27°45'52.3"	115
ec4	41°14'31.9"	27°41'03.7"	91
cc1	41°16'23.4"	27°57'52.7"	142
t2-1	41°20'28.2"	27°41'42.2"	85
t3-2	41°20'08.6"	27°28'26.8"	69
t12-4	41°27'15.8"	27°02'43.4"	63
t7-1	41°25'05.6"	27°13'10.4"	53
t2-3	41°18'20.2"	27°31'18.3"	69
cc5	41°12'42.7"	27°53'20.7"	159
ec3	41°15'24.1"	27°44'08.4"	106
m17	41°07'46.5"	26°28'48.2"	19
t11-3	41°05'31.0"	27°05'12.0"	69
t11-1	40°56'54.5"	26°55'51.6"	102
ec2	41°07'48.1"	27°46'22.7"	95
