Gateway#12	x=80	y=78	total_score=25	avg_score=8.333333333333334
Gateway#7	x=0	y=45	total_score=23	avg_score=5.75
Gateway#5	x=92	y=36	total_score=41	avg_score=6.833333333333333
Gateway#1	x=16	y=11	total_score=27	avg_score=5.4
Gateway#13	x=55	y=83	total_score=38	avg_score=4.222222222222222
Gateway#8	x=51	y=45	total_score=17	avg_score=4.25
Gateway#6	x=71	y=41	total_score=21	avg_score=7.0
Gateway#14	x=33	y=99	total_score=12	avg_score=6.0
Gateway#2	x=76	y=11	total_score=31	avg_score=4.428571428571429
Gateway#4	x=33	y=30	total_score=37	avg_score=6.166666666666667
Gateway#9	x=76	y=61	total_score=44	avg_score=7.333333333333333
Gateway#15	x=3	y=100	total_score=10	avg_score=10.0
Gateway#10	x=11	y=65	total_score=14	avg_score=7.0
Gateway#0	x=46	y=0	total_score=18	avg_score=4.5
Gateway#11	x=31	y=67	total_score=55	avg_score=6.111111111111111
Gateway#3	x=59	y=22	total_score=19	avg_score=4.75
