[Sensor#50; x=37; y=94]
[Sensor#17; x=51; y=51]
[Sensor#18; x=48; y=59]
[Sensor#19; x=46; y=89]
[Sensor#52; x=58; y=67]
[Sensor#0; x=57; y=47]
[Sensor#53; x=8; y=21]
[Sensor#20; x=22; y=96]
[Sensor#21; x=90; y=43]
[Sensor#54; x=5; y=96]
[Sensor#55; x=84; y=86]
[Sensor#5; x=53; y=41]
[Sensor#22; x=84; y=95]
[Sensor#56; x=34; y=28]
[Sensor#48; x=33; y=37]
[Sensor#1; x=83; y=50]
[Sensor#23; x=79; y=64]
[Sensor#4; x=56; y=77]
[Sensor#24; x=20; y=56]
[Sensor#47; x=46; y=81]
[Sensor#2; x=14; y=12]
[Sensor#25; x=98; y=10]
[Sensor#46; x=12; y=6]
[Sensor#42; x=29; y=24]
[Sensor#43; x=66; y=97]
[Sensor#3; x=93; y=91]
[Sensor#26; x=52; y=45]
[Sensor#64; x=98; y=69]
[Sensor#6; x=74; y=85]
[Sensor#27; x=70; y=26]
[Sensor#63; x=7; y=2]
[Sensor#74; x=3; y=83]
[Sensor#10; x=20; y=2]
[Sensor#28; x=70; y=20]
[Sensor#39; x=15; y=92]
[Sensor#65; x=63; y=18]
[Sensor#73; x=63; y=60]
[Sensor#9; x=46; y=13]
[Sensor#29; x=94; y=78]
[Sensor#44; x=4; y=58]
[Sensor#41; x=31; y=93]
[Sensor#72; x=55; y=56]
[Sensor#30; x=86; y=75]
[Sensor#7; x=26; y=93]
[Sensor#40; x=34; y=9]
[Sensor#57; x=78; y=32]
[Sensor#8; x=57; y=29]
[Sensor#31; x=38; y=9]
[Sensor#71; x=29; y=84]
[Sensor#70; x=59; y=45]
[Sensor#11; x=68; y=28]
[Sensor#32; x=76; y=85]
[Sensor#58; x=50; y=90]
[Sensor#37; x=2; y=40]
[Sensor#69; x=27; y=30]
[Sensor#12; x=19; y=81]
[Sensor#38; x=56; y=86]
[Sensor#59; x=20; y=78]
[Sensor#36; x=64; y=86]
[Sensor#68; x=56; y=10]
[Sensor#13; x=33; y=98]
[Sensor#51; x=50; y=22]
[Sensor#60; x=71; y=41]
[Sensor#35; x=28; y=28]
[Sensor#45; x=57; y=16]
[Sensor#14; x=52; y=84]
[Sensor#67; x=29; y=20]
[Sensor#34; x=5; y=86]
[Sensor#66; x=13; y=24]
[Sensor#15; x=38; y=75]
[Sensor#49; x=53; y=43]
[Sensor#33; x=0; y=56]
[Sensor#61; x=13; y=83]
[Sensor#62; x=74; y=79]
[Sensor#16; x=32; y=10]
