id=3	x=68	y=21	total_score=1.6254704871339278	avg_score=0.5418234957113093
id=11	x=58	y=51	total_score=4.622711616896285	avg_score=0.3852259680746904
id=7	x=40	y=36	total_score=0.915540617948261	avg_score=0.4577703089741305
id=12	x=40	y=53	total_score=3.645080349591958	avg_score=0.3313709408719962
id=0	x=35	y=3	total_score=0.693238214532151	avg_score=0.3466191072660755
id=8	x=29	y=38	total_score=1.1860246766440894	avg_score=0.39534155888136313
id=5	x=17	y=33	total_score=1.4931214617086241	avg_score=0.37328036542715604
id=6	x=95	y=35	total_score=3.2217246692995407	avg_score=0.4027155836624426
id=13	x=54	y=96	total_score=0.9188292886459781	avg_score=0.30627642954865936
id=2	x=49	y=17	total_score=0.7019747743498963	avg_score=0.35098738717494815
id=9	x=71	y=40	total_score=5.312695619478159	avg_score=0.37947825853415423
id=4	x=80	y=27	total_score=1.667432922543779	avg_score=0.41685823063594474
id=10	x=88	y=44	total_score=1.501055241911161	avg_score=0.3752638104777902
id=1	x=5	y=17	total_score=1.096721102298725	avg_score=0.3655737007662417
