id=5	x=17	y=31	total_score=1.9613714487461613	avg_score=0.32689524145769355
id=9	x=21	y=56	total_score=0.7378912432644904	avg_score=0.3689456216322452
id=10	x=35	y=60	total_score=2.154962119490733	avg_score=0.3591603532484555
id=1	x=44	y=8	    total_score=1.3108299733320392	avg_score=0.3277074933330098
id=3	x=73	y=27	total_score=3.342718368888028	avg_score=0.3342718368888028
id=0	x=54	y=6	    total_score=0.58	            avg_score=0.58
id=11	x=55	y=70	total_score=0.47	            avg_score=0.47
id=7	x=86	y=49	total_score=2.4896737641414126	avg_score=0.4149456273569021
id=12	x=48	y=91	total_score=1.1085126367351497	avg_score=0.36950421224504987
id=4	x=99	y=30	total_score=4.562563849424648	avg_score=0.4562563849424648
id=8	x=71	y=54	total_score=5.152849830786577	avg_score=0.4294041525655481
id=6	x=50	y=39	total_score=3.9828743820582173	avg_score=0.3319061985048514
id=2	x=3	    y=10	total_score=0.7027073325476074	avg_score=0.3513536662738037
