Sensor#0	x:194	y:398
Sensor#1	x:147	y:404
Sensor#2	x:547	y:405
Sensor#3	x:426	y:848
Sensor#4	x:173	y:559
Sensor#5	x:203	y:472
Sensor#6	x:705	y:775
Sensor#7	x:457	y:685
Sensor#8	x:107	y:337
Sensor#9	x:337	y:225
Sensor#10	x:868	y:463
Sensor#11	x:306	y:13
Sensor#12	x:721	y:254
Sensor#13	x:5	y:951
Sensor#14	x:938	y:922
Sensor#15	x:926	y:0
Sensor#16	x:981	y:477
Sensor#17	x:705	y:138
Sensor#18	x:310	y:613
Sensor#19	x:411	y:188
Sensor#20	x:332	y:879
Sensor#21	x:246	y:348
Sensor#22	x:696	y:217
Sensor#23	x:508	y:681
Sensor#24	x:703	y:850
Sensor#25	x:626	y:694
Sensor#26	x:976	y:626
Sensor#27	x:656	y:346
Sensor#28	x:501	y:726
Sensor#29	x:870	y:981
Sensor#30	x:786	y:333
Sensor#31	x:820	y:333
Sensor#32	x:264	y:714
Sensor#33	x:24	y:7
Sensor#34	x:774	y:26
Sensor#35	x:786	y:491
Sensor#36	x:806	y:261
Sensor#37	x:475	y:715
Sensor#38	x:334	y:344
Sensor#39	x:795	y:825
Sensor#40	x:123	y:208
Sensor#41	x:802	y:366
Sensor#42	x:532	y:619
Sensor#43	x:910	y:988
Sensor#44	x:10	y:500
Sensor#45	x:844	y:242
Sensor#46	x:537	y:947
Sensor#47	x:377	y:955
Sensor#48	x:580	y:234
Sensor#49	x:345	y:87
Sensor#50	x:126	y:836
Sensor#51	x:879	y:412
Sensor#52	x:868	y:677
Sensor#53	x:517	y:458
Sensor#54	x:101	y:84
Sensor#55	x:934	y:90
Sensor#56	x:932	y:104
Sensor#57	x:909	y:994
Sensor#58	x:864	y:752
Sensor#59	x:78	y:61
Sensor#60	x:569	y:758
Sensor#61	x:390	y:330
Sensor#62	x:911	y:579
Sensor#63	x:588	y:950
Sensor#64	x:611	y:374
Sensor#65	x:156	y:100
Sensor#66	x:410	y:114
Sensor#67	x:172	y:196
Sensor#68	x:252	y:830
Sensor#69	x:103	y:769
Sensor#70	x:205	y:12
Sensor#71	x:136	y:229
Sensor#72	x:726	y:291
Sensor#73	x:982	y:701
Sensor#74	x:720	y:431
