[Sensor#14; x=21, y=10]
[Sensor#15; x=16, y=29]
[Sensor#16; x=44, y=44]
[Sensor#36; x=38, y=11]
[Sensor#42; x=49, y=35]
[Sensor#43; x=12, y=46]
[Sensor#17; x=4, y=43]
[Sensor#18; x=36, y=42]
[Sensor#41; x=43, y=32]
[Sensor#19; x=15, y=7]
[Sensor#0; x=44, y=47]
[Sensor#20; x=48, y=14]
[Sensor#44; x=10, y=47]
[Sensor#21; x=14, y=47]
[Sensor#5; x=31, y=18]
[Sensor#22; x=35, y=43]
[Sensor#1; x=4, y=36]
[Sensor#34; x=5, y=46]
[Sensor#4; x=7, y=11]
[Sensor#33; x=40, y=6]
[Sensor#48; x=39, y=48]
[Sensor#32; x=10, y=26]
[Sensor#47; x=24, y=43]
[Sensor#2; x=16, y=29]
[Sensor#31; x=38, y=8]
[Sensor#46; x=48, y=33]
[Sensor#3; x=6, y=28]
[Sensor#30; x=28, y=25]
[Sensor#6; x=39, y=34]
[Sensor#29; x=13, y=32]
[Sensor#10; x=45, y=26]
[Sensor#28; x=9, y=37]
[Sensor#9; x=41, y=44]
[Sensor#27; x=29, y=32]
[Sensor#40; x=26, y=12]
[Sensor#7; x=14, y=7]
[Sensor#26; x=30, y=13]
[Sensor#8; x=43, y=46]
[Sensor#37; x=11, y=42]
[Sensor#45; x=25, y=33]
[Sensor#25; x=16, y=16]
[Sensor#49; x=45, y=6]
[Sensor#11; x=20, y=4]
[Sensor#35; x=43, y=36]
[Sensor#38; x=41, y=24]
[Sensor#24; x=42, y=16]
[Sensor#12; x=0, y=44]
[Sensor#39; x=28, y=48]
[Sensor#23; x=49, y=39]
[Sensor#13; x=42, y=17]
